clavecct,nombrecct,domicilio,codpost,localidad,municipio,entidad,ambito,longitud,latitud,nturno
13DIN0003S,AQUILES SERDÁN,CENTRO DE LA COMUNIDAD,43050,30,25,13,RURAL,-98.270556,21.063611,MATUTINO
13DIN0004R,GABRIELA MISTRAL,EN EL CENTRO DE LA LOCALIDAD,43042,5,32,13,RURAL,-98.507778,21.153056,MATUTINO
13DIN0005Q,ANGELICA CASTRO DE LA FUENTE,JUNTO A LA ESCUELA PRIMARIA,43000,13,28,13,RURAL,-98.471944,21.108611,MATUTINO
13DIN0006P,ROSAURA ZAPATA,CENTRO DE LA LOCALIDAD,43046,8,32,13,RURAL,-98.505,21.156111,MATUTINO
13DIN0007O,PILXOCHIMILTSIJ,CENTRO DE LA LOCALIDAD,43040,2,32,13,RURAL,-98.506614,21.136274,MATUTINO
13DIN0008N,JOSÉ MA. PINO SUÁREZ,CONOCIDO,42300,4,30,13,RURAL,-99.148889,20.483056,MATUTINO
13DIN0009M,GABRIELA MISTRAL,CONOCIDO,42302,17,30,13,RURAL,-99.178889,20.554167,MATUTINO
13DIN0010B,GABRIELA MISTRAL,CONOCIDO,42305,18,30,13,RURAL,-99.166389,20.586944,MATUTINO
13DIN0011A,NIÑOS HÉROES,CONOCIDO,42304,42,30,13,RURAL,-99.181111,20.575833,MATUTINO
13DIN0012Z,ANGELICA CASTRO DE LA FUENTE,CONOCIDO,42300,55,30,13,RURAL,-99.147778,20.499722,MATUTINO
13DIN0013Z,SOR JUANA INÉS DE LA CRUZ,CONOCIDO,42300,67,30,13,RURAL,-99.210278,20.457778,MATUTINO
13DIN0014Y,QUETZALCOATL,CONOCIDO,42310,53,30,13,RURAL,-99.220278,20.532222,MATUTINO
13DIN0015X,FEDERICO FROEBEL,CALLE PRINCIPAL DEL POBLADO S/N,43139,18,62,13,RURAL,-98.780278,21.171111,MATUTINO
13DIN0016W,MIGUEL HIDALGO Y COSTILLA,A UN LADO DEL POZO,43033,61,46,13,RURAL,-98.560833,21.178056,MATUTINO
13DIN0017V,MARGARITA MAZA DE JUÁREZ,VENUSTIANO CARRANZA NUM. 1,42300,50,30,13,RURAL,-99.155278,20.413889,MATUTINO
13DIN0018U,ROSARIO CASTELLANOS,CONOCIDO,42380,24,58,13,RURAL,-99.324444,20.501389,MATUTINO
13DIN0019T,ANGELICA CASTRO DE LA FUENTE,CONOCIDO,42450,17,59,13,RURAL,-99.754167,20.510833,MATUTINO
13DIN0020I,RAYITO DE LUZ,ABAJO DEL AUDITORIO,43483,34,60,13,RURAL,-98.188611,20.321944,MATUTINO
13DIN0021H,EDUCACIÓN INFANTIL,DENTRO DEL TERRENO DE PREESCOLAR,43490,35,60,13,RURAL,-98.16,20.361111,MATUTINO
13DIN0023F,SOR JUANA INÉS DE LA CRUZ,CALLE PRINCIPAL,43164,36,73,13,RURAL,-98.598611,21.012222,MATUTINO
13DIN0024E,MIGUEL ALEMAN VALDEZ,ENTRADA A LA COMUNIDAD,43070,13,26,13,RURAL,-98.526667,21.021667,MATUTINO
13DIN0025D,JOSEFA ORTIZ DE DOMÍNGUEZ,CENTRO DE LA COMUNIDAD,43094,11,78,13,RURAL,-98.281111,20.870833,MATUTINO
13DIN0026C,CENTRO DE EDUCACIÓN INICIAL,AVENIDA EMILIANO ZAPATA NÚM. 404,43080,27,80,13,RURAL,-98.4325,20.909444,MATUTINO
13DIN0027B,FERNANDO MONTES DE OCA,CONOCIDO,42330,64,84,13,RURAL,-99.319444,20.624444,MATUTINO
13DIN0028A,JUANA DE ARCO,CONOCIDO,42640,36,54,13,RURAL,-99.163333,20.406667,MATUTINO
13DIN0029Z,SIMÓN BOLIVAR,CONOCIDO,42640,37,54,13,RURAL,-99.135574,20.395634,MATUTINO
13DIN0030P,GABRIELA MISTRAL,CENTRO,42302,8,30,13,RURAL,-99.138056,20.508056,MATUTINO
13DIN0031O,VICENTE GUERRERO,JUNTO A LA TELESECUNDARIA,43011,103,28,13,RURAL,-98.443056,21.077222,MATUTINO
13DIN0032N,MANUEL AVILA CAMACHO,A UN LADO DE LA GALERA,43000,123,28,13,RURAL,-98.525278,21.210833,MATUTINO
13DIN0033M,OCTAVIO PAZ,CENTRO DE LA COMUNIDAD,43150,38,73,13,RURAL,-98.611645,21.041764,MATUTINO
13DIN0034L,CARMEN SERDÁN,BARRIO OJTLAYO,43021,4,46,13,URBANO,-98.665,21.165,MATUTINO
13DIN0035K,NUEVO AMANECER,CONOCIDO,43420,34,27,13,URBANO,-98.035,20.456667,MATUTINO
13DIN0036J,SOR JUANA INÉS DE LA CRUZ,A LA ORILLA DE LA COMUNIDAD,43001,42,28,13,URBANO,-98.435556,21.134444,MATUTINO
13DIN0037I,JEAN PIAGET,ORILLA DE LA CARRETERA,43080,17,80,13,URBANO,-98.383333,20.890556,MATUTINO
13DIN0038H,JOSÉ VASCONCELOS,ORILLA DE LA COMUNIDAD,43240,10,14,13,URBANO,-98.448889,20.902222,MATUTINO
13DIN0039G,DAVID ALFARO SIQUEIROS,ENTRADA DE LA COMUNIDAD,43060,10,11,13,RURAL,-98.421667,21.008056,MATUTINO
13DIN0040W,SOR JUANA INÉS DE LA CRUZ,JUÁREZ S/N,43080,23,80,13,RURAL,-98.399722,20.970278,MATUTINO
13DIN0041V,NARCISO MENDOZA,EN LA DELEGACIÓN,43480,37,60,13,RURAL,-98.218889,20.308889,MATUTINO
13DIN0043T,BENITO JUÁREZ GARCÍA,ORILLA DE LA CARRETERA,43034,48,46,13,RURAL,-98.595833,21.2575,MATUTINO
13DIN0044S,JUAN ESCUTIA,ABORDO DE LA CARRETERA,43001,8,28,13,RURAL,-98.447778,21.113056,MATUTINO
13DIN0045R,GABRIELA MISTRAL,CONOCIDO,42370,19,15,13,RURAL,-99.059722,20.493333,MATUTINO
13DIN0046Q,GABRIELA MISTRAL,CENTRO DE LA COMUNIDAD,43062,32,11,13,RURAL,-98.338889,20.941389,MATUTINO
13DIN0047P,BENITO JUÁREZ,CONOCIDO,43730,7,2,13,URBANO,-98.164444,20.154722,MATUTINO
13DIN0048O,NIÑOS HÉROES,CENTRO DEL POBLADO,43016,45,28,13,RURAL,-98.373611,21.095556,MATUTINO
13DIN0049N,GABRIELA MISTRAL,AGUSTÍN MELGAR S/N,43480,61,60,13,RURAL,-98.230278,20.336667,MATUTINO
13DIN0050C,MARGARITA MAZA DE JUÁREZ,CENTRO DEL POBLADO,43040,1,32,13,URBANO,-98.538056,21.133056,MATUTINO
13DIN0051B,JAIME TORRES BODET,CENTRO DEL POBLADO,43000,86,28,13,RURAL,-98.529024,21.103476,MATUTINO
13DIN0052A,VICENTE SUÁREZ,CONOCIDO,43440,37,53,13,RURAL,-98.198056,20.417778,MATUTINO
13DIN0054Z,ROSARIO CASTELLANOS,ORILLA DE LA COMUNIDAD,43000,14,28,13,RURAL,-98.485,21.163333,MATUTINO
